File;Item Start;Item End;Left Context;Match;Right Context;Speaker;Survey;Task
cqaab1gg.TextGrid;31.3082;35.1791;euh. (rires) AB: Non d'ailleur;0412;s c'est drôle0412 parce0312 qu;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;31.3082;35.1791;Non d'ailleur0412s c'est drôle;0412; parce0312 que1413, euh,  c'es;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;31.3082;35.1791; c'est drôle0412 parce0312 que;1413;, euh,  c'est moi qui suis euh;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;35.1791;38.1462;: désordonnée dans le0112 coup;0453;le, c'est moi qui s/, qui, qui;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;38.1462;41.6526;peu brouillon et je0112 laisse;0412; traîner mes chose0411s un peu;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;38.1462;41.6526;2 laisse0412 traîner mes chose;0411;s un peu partout, AB: et tout ;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;41.6526;45.1291;out, AB: et tout et tout, donc;0412; c'est lui q/, c'est lui qui f;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;41.6526;45.1291;11 euh, qui fait le0112 ménage;0411; en fait0413. AB: C'était comm;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;41.6526;45.1291;fait le0112 ménage0411 en fait;0413;. AB: C'était comme2411 euh, c;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;45.1291;48.6553;ait comme2411 euh, c'est comme;0411; une0411 entente0412 qu'on a e;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;45.1291;48.6553;e2411 euh, c'est comme0411 une;0411; entente0412 qu'on a entre2424;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;45.1291;48.6553;'est comme0411 une0411 entente;0412; qu'on a entre2424 euh, entre1;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;45.1291;48.6553;2 qu'on a entre2424 euh, entre;1422; nous deux c'est. AB: moi je01;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;48.6553;51.9976; moi je0112 fais le0112 lavage;0411; et je0412 fais la nourri/ je1;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;48.6553;51.9976;2 fais le0112 lavage0411 et je;0412; fais la nourri/ je1132 fais l;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;48.6553;51.9976; nourri/ je1132 fais la bouffe;0413;. AB: Alor0412s que1122 lui il;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;51.9976;55.1257;2 fais la bouffe0413. AB: Alor;0412;s que1122 lui il fait le0412 m;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;51.9976;55.1257;or0412s que1122 lui il fait le;0412; ménage0413, donc0412 c'est un;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;51.9976;55.1257;1122 lui il fait le0412 ménage;0413;, donc0412 c'est une0411 espèc;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;51.9976;55.1257;l fait le0412 ménage0413, donc;0412; c'est une0411 espèce0412 de01;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;51.9976;55.1257;ménage0413, donc0412 c'est une;0411; espèce0412 de0121 euh. AB: D';CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;51.9976;55.1257; donc0412 c'est une0411 espèce;0412; de0121 euh. AB: D'entente0412;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;55.1257;57.9659;0412 de0121 euh. AB: D'entente;0412; tacite0412 pour0411 euh. AB: ;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;55.1257;57.9659; euh. AB: D'entente0412 tacite;0412; pour0411 euh. AB: Parce0312 q;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;55.1257;57.9659; D'entente0412 tacite0412 pour;0411; euh. AB: Parce0312 que1422 je;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;57.9659;66.0811;our0411 euh. AB: Parce0312 que;1422; je0412 suis, ma mère0411 au/ ;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;57.9659;66.0811; euh. AB: Parce0312 que1422 je;0412; suis, ma mère0411 au/ ma mère;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;57.9659;66.0811;2 que1422 je0412 suis, ma mère;0411; au/ ma mère0411 a essayé de01;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;57.9659;66.0811; suis, ma mère0411 au/ ma mère;0411; a essayé de0112 me1122 montre;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;57.9659;66.0811; de0112 me1122 montrer à faire;0412; mon ménage0412 de1122 chamb04;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;57.9659;66.0811;montrer à faire0412 mon ménage;0412; de1122 chamb0452re mais un jo;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;57.9659;66.0811;12 mon ménage0412 de1122 chamb;0452;re mais un jour0411 elle0411 a;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;57.9659;66.0811;e1122 chamb0452re mais un jour;0411; elle0411 a re1212noncé (rire);CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;57.9659;66.0811;mb0452re mais un jour0411 elle;0411; a re1212noncé (rire). AB: Je0;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;69.2187;73.8228;due jusqu'à l'université comme;0412; ça alor0411s euh, ça doit pas;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;69.2187;73.8228;l'université comme0412 ça alor;0411;s euh, ça doit pas euh (rire) ;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;84.7595;90.0566; c'est. Attendez, je0132 pense;0412; que1122 c'est la (hésitation);CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;90.0566;93.0019;ion) AB: L'arri/ la grand'mère;0412; de1122 mon grand'père0412 qui;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;90.0566;93.0019;mère0412 de1122 mon grand'père;0412; qui était Huronne0413. AB: D';CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;90.0566;93.0019;and'père0412 qui était Huronne;0413;. AB: D'un côté puis de0112 l';CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;93.0019;98.2369;B: D'un côté puis de0112 l'aut;0452;re côt/ j'ai, j'ai  cer/ certa;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;110.348;114.1;est euh, c'est, il y a toujour;0411;s eu. AB: Un blanc qui a couch;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;114.1;119.828;AB: Un blanc qui a couché avec;0411; une, une0411 amérindienne0411;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;114.1;119.828;qui a couché avec0411 une, une;0411; amérindienne0411 en quelque03;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;114.1;119.828;0411 une, une0411 amérindienne;0411; en quelque0312 part0412 dans ;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;114.1;119.828;dienne0411 en quelque0312 part;0412; dans une0412 famille0412 c'es;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;114.1;119.828; quelque0312 part0412 dans une;0412; famille0412 c'est toujour0411;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;114.1;119.828; part0412 dans une0412 famille;0412; c'est toujour0411s euh, c'est;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;114.1;119.828;0412 famille0412 c'est toujour;0411;s euh, c'est. AB: C'est très r;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;122.031;125.083;c'est euh. AB: C'est très rare;0412; les, les, les gens qui ont pa;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;125.083;127.658;ang indien dans. AB: Au Québec;0413;. EQ: Donc ils étaient bien as;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;131.353;134.127;AB: Oui, mais ce qui est drôle;0413;, ce qui est le1112 plus drôle;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;131.353;134.127;, ce qui est le1112 plus drôle;0412; c'est que0112 euh, AB: je0132;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;134.127;140.135; je0132 travaille2412 euh pour;0412; le1122 Trésor0412 de0122 la L;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;134.127;140.135;412 euh pour0412 le1122 Trésor;0412; de0122 la Langue0412 Français;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;134.127;140.135;22 Trésor0412 de0122 la Langue;0412; Française0412 (de) l'aut0452r;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;134.127;140.135;de0122 la Langue0412 Française;0412; (de) l'aut0452re côté, puis j;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;134.127;140.135;e0412 Française0412 (de) l'aut;0452;re côté, puis j'ai l'occasion ;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;134.127;140.135;, puis j'ai l'occasion d'avoir;0414;, de, de, de, AB: de1132 lire ;CQAAB1;CQA;Formal interview
cqaab1gg.TextGrid;140.135;142.815; , de, de, de, AB: de1132 lire;0411; euh, les relations des Jésuit;CQAAB1;CQA;Formal interview
